Insurer_name,Insure_type,Year_,Policy_type,No_of_policies,No_of_persons_covered,Gross_premium
Magma HDI General Insurance Co. Ltd.,Private,2020-21,Individual Other than Family Floater,46687,46682,184948904.68
Magma HDI General Insurance Co. Ltd.,Private,2021-22,Government Sponsored Schemes including RSBY,0,0,0.00
Magma HDI General Insurance Co. Ltd.,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,773,301733,754410295.80
Magma HDI General Insurance Co. Ltd.,Private,2021-22,Individual Family Floater  ,15913,51584,219602874.00
Magma HDI General Insurance Co. Ltd.,Private,2021-22,Individual Other than Family Floater,16681,16731,100250214.00
ManipalCigna Health Insurance Co. Ltd.,Standalone,2013-14,Family/Floater Insurance excluding Individual Policies,224,665000,2080000.00
ManipalCigna Health Insurance Co. Ltd.,Standalone,2013-14,Government Sponsored Schemes including RSBY,0,0,0.00
ManipalCigna Health Insurance Co. Ltd.,Standalone,2013-14,Individual Insurance excluding Family /Floater Policies,325,343000,1274000.00
ManipalCigna Health Insurance Co. Ltd.,Standalone,2014-15,Family/Floater Insurance excluding Individual Policies,9560,28500,121028000.00
ManipalCigna Health Insurance Co. Ltd.,Standalone,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,1,345,23235416.98
ManipalCigna Health Insurance Co. Ltd.,Standalone,2014-15,Individual Insurance excluding Family/ Floater Policies,8083,9180,68123000.00
ManipalCigna Health Insurance Co. Ltd.,Standalone,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,5,9000,542100000.00
ManipalCigna Health Insurance Co. Ltd.,Standalone,2015-16,Individual Family Floater  ,33903,102000,484200000.00
ManipalCigna Health Insurance Co. Ltd.,Standalone,2015-16,Individual Other than Family Floater,32681,33000,331900000.00
ManipalCigna Health Insurance Co. Ltd.,Standalone,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,36,102893,464154813.64
ManipalCigna Health Insurance Co. Ltd.,Standalone,2016-17,Individual Family Floater  ,58226,180559,750281235.76
ManipalCigna Health Insurance Co. Ltd.,Standalone,2016-17,Individual Other than Family Floater,65659,81820,851944175.57
ManipalCigna Health Insurance Co. Ltd.,Standalone,2017-18,Government Sponsored Schemes including RSBY,0,0,0.00
ManipalCigna Health Insurance Co. Ltd.,Standalone,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,237,209721,1066293541.21
ManipalCigna Health Insurance Co. Ltd.,Standalone,2017-18,Individual Family Floater  ,94091,292813,1232419790.43
ManipalCigna Health Insurance Co. Ltd.,Standalone,2017-18,Individual Other than Family Floater,82367,97300,966713265.47
ManipalCigna Health Insurance Co. Ltd.,Standalone,2018-19,Government Sponsored Schemes including RSBY & PMJAY,0,0,0.00
ManipalCigna Health Insurance Co. Ltd.,Standalone,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,1029,575351,2023309005.91
ManipalCigna Health Insurance Co. Ltd.,Standalone,2018-19,Individual Family Floater  ,123667,389698,1607970643.91
ManipalCigna Health Insurance Co. Ltd.,Standalone,2018-19,Individual Other than Family Floater,105121,135599,1056938853.47
ManipalCigna Health Insurance Co. Ltd.,Standalone,2019-20,Government Sponsored Schemes including RSBY,0,0,0.00
ManipalCigna Health Insurance Co. Ltd.,Standalone,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,1823,1369154,2549845753.48
ManipalCigna Health Insurance Co. Ltd.,Standalone,2019-20,Individual Family Floater  ,119584,386733,1683107793.90
ManipalCigna Health Insurance Co. Ltd.,Standalone,2019-20,Individual Other than Family Floater,128757,192623,1439956427.12
ManipalCigna Health Insurance Co. Ltd.,Standalone,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
ManipalCigna Health Insurance Co. Ltd.,Standalone,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,3590,4099412,3509336042.15
ManipalCigna Health Insurance Co. Ltd.,Standalone,2020-21,Individual Family Floater  ,133660,438998,1884380694.27
ManipalCigna Health Insurance Co. Ltd.,Standalone,2020-21,Individual Other than Family Floater,153596,262820,2051554735.38
ManipalCigna Health Insurance Co. Ltd.,Standalone,2021-22,Government Sponsored Schemes including RSBY,0,0,0.00
ManipalCigna Health Insurance Co. Ltd.,Standalone,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,4134,6355692,5053145770.07
ManipalCigna Health Insurance Co. Ltd.,Standalone,2021-22,Individual Family Floater  ,132097,436821,2003482344.14
ManipalCigna Health Insurance Co. Ltd.,Standalone,2021-22,Individual Other than Family Floater,171189,311754,2633303180.93
National Insurance Co. Ltd.,Public,2013-14,Family/Floater Insurance excluding Individual Policies,177729,488754,1425941948.00
National Insurance Co. Ltd.,Public,2013-14,Government Sponsored Schemes including RSBY,31655,55263722,6298757531.00
National Insurance Co. Ltd.,Public,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,9711,769724,13255867778.00
National Insurance Co. Ltd.,Public,2013-14,Individual Insurance excluding Family /Floater Policies,1388616,4332482,9116422000.00
National Insurance Co. Ltd.,Public,2014-15,Family/Floater Insurance excluding Individual Policies,220487,686418,1750156490.00
National Insurance Co. Ltd.,Public,2014-15,Government Sponsored Schemes including RSBY,29501,73429642,9432321981.00
National Insurance Co. Ltd.,Public,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,10061,5050622,15407757846.60
National Insurance Co. Ltd.,Public,2014-15,Individual Insurance excluding Family/ Floater Policies,1448917,4207615,10772832436.66
National Insurance Co. Ltd.,Public,2015-16,Government Sponsored Schemes including RSBY,21,75493000,8690300000.00
National Insurance Co. Ltd.,Public,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,10021,5262000,18210500000.00
National Insurance Co. Ltd.,Public,2015-16,Individual Family Floater  ,584809,1620000,3271500000.00
National Insurance Co. Ltd.,Public,2015-16,Individual Other than Family Floater,1154480,2727000,10143800000.00
National Insurance Co. Ltd.,Public,2016-17,Government Sponsored Schemes including RSBY,26,91200000,9529000000.00
National Insurance Co. Ltd.,Public,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,9937,7948000,23261000000.00
National Insurance Co. Ltd.,Public,2016-17,Individual Family Floater  ,638797,1863200,4021900000.00
National Insurance Co. Ltd.,Public,2016-17,Individual Other than Family Floater,1131270,2526000,10524500000.00
National Insurance Co. Ltd.,Public,2017-18,Government Sponsored Schemes including RSBY,53,129590509,14469400000.00
National Insurance Co. Ltd.,Public,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,8430,9458922,23398800000.00
National Insurance Co. Ltd.,Public,2017-18,Individual Family Floater  ,718541,1243934,4710800000.00
National Insurance Co. Ltd.,Public,2017-18,Individual Other than Family Floater,1080837,1920093,10710100000.00
National Insurance Co. Ltd.,Public,2018-19,Government Sponsored Schemes including RSBY & PMJAY,20,136541000,21790400000.00
National Insurance Co. Ltd.,Public,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,6662,7336000,20702000000.00
National Insurance Co. Ltd.,Public,2018-19,Individual Family Floater  ,633681,1560000,5081600000.00
National Insurance Co. Ltd.,Public,2018-19,Individual Other than Family Floater,1084927,2291000,11325600000.00
National Insurance Co. Ltd.,Public,2019-20,Government Sponsored Schemes including RSBY,21,143864000,15672400000.00
National Insurance Co. Ltd.,Public,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,5287,5337300,19724700000.00
National Insurance Co. Ltd.,Public,2019-20,Individual Family Floater  ,398363,1233104,4880400000.00
National Insurance Co. Ltd.,Public,2019-20,Individual Other than Family Floater,1151621,2559900,12499200000.00
National Insurance Co. Ltd.,Public,2020-21,Government Sponsored Schemes including RSBY,7,36572000,5069900000.00
National Insurance Co. Ltd.,Public,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,4025,7762380,29574768000.00
National Insurance Co. Ltd.,Public,2020-21,Individual Family Floater  ,468794,1269040,6500700000.00
National Insurance Co. Ltd.,Public,2020-21,Individual Other than Family Floater,1031638,2419950,14329197000.00
National Insurance Co. Ltd.,Public,2021-22,Government Sponsored Schemes including RSBY,2,36573400,3458910000.00
National Insurance Co. Ltd.,Public,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,4472,8655900,32732930000.00
National Insurance Co. Ltd.,Public,2021-22,Individual Family Floater  ,431057,1317900,6991570000.00
National Insurance Co. Ltd.,Public,2021-22,Individual Other than Family Floater,871461,1757600,15286270000.00
Navi General Insurance Limited,Private,2017-18,Government Sponsored Schemes including RSBY,0,0,0.00
Navi General Insurance Limited,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,48035,61939,673744432.31
Navi General Insurance Limited,Private,2017-18,Individual Family Floater  ,0,0,0.00
Navi General Insurance Limited,Private,2017-18,Individual Other than Family Floater,0,0,0.00
Navi General Insurance Limited,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,0,0,0.00
Navi General Insurance Limited,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,119732,199733,1042572056.95
Navi General Insurance Limited,Private,2018-19,Individual Family Floater  ,0,0,0.00
Navi General Insurance Limited,Private,2018-19,Individual Other than Family Floater,1,1,4678.00
Navi General Insurance Limited,Private,2019-20,Government Sponsored Schemes including RSBY,0,0,0.00
Navi General Insurance Limited,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,32,222615,333004908.68
Navi General Insurance Limited,Private,2019-20,Individual Family Floater  ,47,113,136506.40
Navi General Insurance Limited,Private,2019-20,Individual Other than Family Floater,4524,4524,383767.05
Navi General Insurance Limited,Private,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
Navi General Insurance Limited,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,37,209583,204825065.18
Navi General Insurance Limited,Private,2020-21,Individual Family Floater  ,229,308,1098194.00
Navi General Insurance Limited,Private,2020-21,Individual Other than Family Floater,550,550,60279.00
Navi General Insurance Limited,Private,2021-22,Government Sponsored Schemes including RSBY,0,0,0.00
Navi General Insurance Limited,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,22,228538,236909000.00
Navi General Insurance Limited,Private,2021-22,Individual Family Floater  ,20864,59782,98819000.00
Navi General Insurance Limited,Private,2021-22,Individual Other than Family Floater,20949,20934,42548000.00
Niva Bupa Health Insurance Co. Ltd.,Standalone,2013-14,Family/Floater Insurance excluding Individual Policies,130794,386574,1953932000.00
Niva Bupa Health Insurance Co. Ltd.,Standalone,2013-14,Government Sponsored Schemes including RSBY,3,1045538,78913000.00
Niva Bupa Health Insurance Co. Ltd.,Standalone,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,1022,264363,544549000.00
Niva Bupa Health Insurance Co. Ltd.,Standalone,2013-14,Individual Insurance excluding Family /Floater Policies,72790,72868,497934000.00
Niva Bupa Health Insurance Co. Ltd.,Standalone,2014-15,Family/Floater Insurance excluding Individual Policies,159372,466380,2845929103.50
Niva Bupa Health Insurance Co. Ltd.,Standalone,2014-15,Government Sponsored Schemes including RSBY,3,1045538,12432754.00
Niva Bupa Health Insurance Co. Ltd.,Standalone,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,267,203784,277809905.93
Niva Bupa Health Insurance Co. Ltd.,Standalone,2014-15,Individual Insurance excluding Family/ Floater Policies,72341,72078,584387509.14
Niva Bupa Health Insurance Co. Ltd.,Standalone,2015-16,Government Sponsored Schemes including RSBY,3,1046000,42500000.00
Niva Bupa Health Insurance Co. Ltd.,Standalone,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,135,317000,385200000.00
Niva Bupa Health Insurance Co. Ltd.,Standalone,2015-16,Individual Family Floater  ,134069,372000,1618000000.00
Niva Bupa Health Insurance Co. Ltd.,Standalone,2015-16,Individual Other than Family Floater,130861,306000,2709800000.00
Niva Bupa Health Insurance Co. Ltd.,Standalone,2016-17,Government Sponsored Schemes including RSBY,3,1045538,42503245.15
Niva Bupa Health Insurance Co. Ltd.,Standalone,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,92,427329,607451838.90
Niva Bupa Health Insurance Co. Ltd.,Standalone,2016-17,Individual Family Floater  ,123745,421746,1945295237.48
Niva Bupa Health Insurance Co. Ltd.,Standalone,2016-17,Individual Other than Family Floater,183167,386193,3314107845.62
Niva Bupa Health Insurance Co. Ltd.,Standalone,2017-18,Government Sponsored Schemes including RSBY,3,1045538,42503245.44
Niva Bupa Health Insurance Co. Ltd.,Standalone,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,188,620861,1048138063.62
Niva Bupa Health Insurance Co. Ltd.,Standalone,2017-18,Individual Family Floater  ,123577,328786,2530463207.22
Niva Bupa Health Insurance Co. Ltd.,Standalone,2017-18,Individual Other than Family Floater,186141,495240,3811549843.45
Niva Bupa Health Insurance Co. Ltd.,Standalone,2018-19,Government Sponsored Schemes including RSBY & PMJAY,6,2091076,35417048.48
Niva Bupa Health Insurance Co. Ltd.,Standalone,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,601,1642200,1742725984.70
Niva Bupa Health Insurance Co. Ltd.,Standalone,2018-19,Individual Family Floater  ,509753,1513997,5984792057.02
Niva Bupa Health Insurance Co. Ltd.,Standalone,2018-19,Individual Other than Family Floater,185747,185781,1381973351.07
Niva Bupa Health Insurance Co. Ltd.,Standalone,2019-20,Government Sponsored Schemes including RSBY,0,0,0.00
Niva Bupa Health Insurance Co. Ltd.,Standalone,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,1176,2547200,3081928169.49
Niva Bupa Health Insurance Co. Ltd.,Standalone,2019-20,Individual Family Floater  ,587422,1766225,6935702871.86
Niva Bupa Health Insurance Co. Ltd.,Standalone,2019-20,Individual Other than Family Floater,233502,235731,1758011369.03
Niva Bupa Health Insurance Co. Ltd.,Standalone,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
Niva Bupa Health Insurance Co. Ltd.,Standalone,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,1243,2102840,3389743553.16
Niva Bupa Health Insurance Co. Ltd.,Standalone,2020-21,Individual Family Floater  ,623483,1804160,11169371629.30
Niva Bupa Health Insurance Co. Ltd.,Standalone,2020-21,Individual Other than Family Floater,231938,231958,2396831422.92
Niva Bupa Health Insurance Co. Ltd.,Standalone,2021-22,Government Sponsored Schemes including RSBY,0,0,0.00
Niva Bupa Health Insurance Co. Ltd.,Standalone,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,1759,3696274,5916950037.32
Niva Bupa Health Insurance Co. Ltd.,Standalone,2021-22,Individual Family Floater  ,1046751,2861785,19086038072.23
Niva Bupa Health Insurance Co. Ltd.,Standalone,2021-22,Individual Other than Family Floater,226331,226341,2487364985.10
Private Sector Insurers Total,Private,2013-14,Family/Floater Insurance excluding Individual Policies,1055939,3204977,6943895883.74
Private Sector Insurers Total,Private,2013-14,Government Sponsored Schemes including RSBY,278,41251163,7631152720.45
Private Sector Insurers Total,Private,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,23632,9550571,21571625858.78
Private Sector Insurers Total,Private,2013-14,Individual Insurance excluding Family /Floater Policies,1290895,1467497,8671093519.12
Private Sector Insurers Total,Private,2014-15,Family/Floater Insurance excluding Individual Policies,1105822,3197737,7489136528.10
Private Sector Insurers Total,Private,2014-15,Government Sponsored Schemes including RSBY,265,48061158,5898425979.09
Private Sector Insurers Total,Private,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,25536,9902866,19203930374.13
Private Sector Insurers Total,Private,2014-15,Individual Insurance excluding Family/ Floater Policies,1437632,1840313,11269984626.86
Private Sector Insurers Total,Private,2015-16,Government Sponsored Schemes including RSBY,141,49552000,4284100000.00
Private Sector Insurers Total,Private,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,32910,13608000,23330400000.00
Private Sector Insurers Total,Private,2015-16,Individual Family Floater  ,1030217,2839000,8316200000.00
Private Sector Insurers Total,Private,2015-16,Individual Other than Family Floater,1552206,1940000,13182700000.00
Private Sector Insurers Total,Private,2016-17,Government Sponsored Schemes including RSBY,103,54776884,4102753102.73
Private Sector Insurers Total,Private,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,46049,14801877,26021945521.52
Private Sector Insurers Total,Private,2016-17,Individual Family Floater  ,1192075,3563037,10493878173.48
Private Sector Insurers Total,Private,2016-17,Individual Other than Family Floater,1780093,2212712,15705629779.89
Private Sector Insurers Total,Private,2017-18,Government Sponsored Schemes including RSBY,24,59688965,4733667404.31
Private Sector Insurers Total,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,179169,20640238,41045292067.19
Private Sector Insurers Total,Private,2017-18,Individual Family Floater  ,1410831,3930016,12752571660.83
Private Sector Insurers Total,Private,2017-18,Individual Other than Family Floater,2132381,2501511,18361945940.70
Private Sector Insurers Total,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,97,79788974,9051562883.00
Private Sector Insurers Total,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,647046,24681822,66224417834.44
Private Sector Insurers Total,Private,2018-19,Individual Family Floater  ,1846945,4898014,17644109714.64
Private Sector Insurers Total,Private,2018-19,Individual Other than Family Floater,5741334,7109390,13630843254.80
Private Sector Insurers Total,Private,2019-20,Government Sponsored Schemes including RSBY,88,71169393,12992106380.82
Private Sector Insurers Total,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,341478,38594116,79321747207.98
Private Sector Insurers Total,Private,2019-20,Individual Family Floater  ,2026006,5787231,21126519924.82
Private Sector Insurers Total,Private,2019-20,Individual Other than Family Floater,2194509,4701208,10466840985.82
Private Sector Insurers Total,Private,2020-21,Government Sponsored Schemes including RSBY,4,28216263,6395411562.00
Private Sector Insurers Total,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,567061,51401105,91195771429.42
Private Sector Insurers Total,Private,2020-21,Individual Family Floater  ,3114821,9024282,35914566706.69
Private Sector Insurers Total,Private,2020-21,Individual Other than Family Floater,3801317,6508552,25245195876.35
Private Sector Insurers Total,Private,2021-22,Government Sponsored Schemes including RSBY,7,34977189,15025084145.17
Private Sector Insurers Total,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,428596,63959733,117440300579.22
Private Sector Insurers Total,Private,2021-22,Individual Family Floater  ,3327513,9590350,46519731791.22
Private Sector Insurers Total,Private,2021-22,Individual Other than Family Floater,2796246,3418778,22087179562.36
Public Sector Insurers Total,Public,2013-14,Family/Floater Insurance excluding Individual Policies,1178435,3325242,8921364613.00
Public Sector Insurers Total,Public,2013-14,Government Sponsored Schemes including RSBY,31763,106632792,12608184434.00
Public Sector Insurers Total,Public,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,156841,22152429,54853091218.00
Public Sector Insurers Total,Public,2013-14,Individual Insurance excluding Family /Floater Policies,4253535,13225795,32024576788.00
Public Sector Insurers Total,Public,2014-15,Family/Floater Insurance excluding Individual Policies,1867949,5590013,15868013362.00
Public Sector Insurers Total,Public,2014-15,Government Sponsored Schemes including RSBY,29659,158964077,17986363721.00
Public Sector Insurers Total,Public,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,272805,36570724,65210339107.60
Public Sector Insurers Total,Public,2014-15,Individual Insurance excluding Family/ Floater Policies,3693041,10326616,29755372776.66
Public Sector Insurers Total,Public,2015-16,Government Sponsored Schemes including RSBY,277,219671000,20257800000.00
Public Sector Insurers Total,Public,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,347310,40886000,85878400000.00
Public Sector Insurers Total,Public,2015-16,Individual Family Floater  ,2126298,6719000,17176300000.00
Public Sector Insurers Total,Public,2015-16,Individual Other than Family Floater,3604730,9288000,32594000000.00
Public Sector Insurers Total,Public,2016-17,Government Sponsored Schemes including RSBY,229,279192515,26447712795.00
Public Sector Insurers Total,Public,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,394571,52178142,110350339370.00
Public Sector Insurers Total,Public,2016-17,Individual Family Floater  ,2972857,9399986,31469217161.00
Public Sector Insurers Total,Public,2016-17,Individual Other than Family Floater,2736880,6552101,24003968552.00
Public Sector Insurers Total,Public,2017-18,Government Sponsored Schemes including RSBY,236,298527640,34591819398.00
Public Sector Insurers Total,Public,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,454130,63357383,121091204837.80
Public Sector Insurers Total,Public,2017-18,Individual Family Floater  ,2529115,7541600,26040276349.30
Public Sector Insurers Total,Public,2017-18,Individual Other than Family Floater,3125175,6880734,33371497982.00
Public Sector Insurers Total,Public,2018-19,Government Sponsored Schemes including RSBY & PMJAY,150,268436946,44963432237.00
Public Sector Insurers Total,Public,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,426713,38012802,127861820112.59
Public Sector Insurers Total,Public,2018-19,Individual Family Floater  ,2463614,7724666,28945154518.10
Public Sector Insurers Total,Public,2018-19,Individual Other than Family Floater,2951198,5907085,33592199662.44
Public Sector Insurers Total,Public,2019-20,Government Sponsored Schemes including RSBY,152,283733400,32061720922.00
Public Sector Insurers Total,Public,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,401738,37450779,148552782400.05
Public Sector Insurers Total,Public,2019-20,Individual Family Floater  ,2241929,7376468,30135847022.00
Public Sector Insurers Total,Public,2019-20,Individual Other than Family Floater,2861875,5704573,35568151367.29
Public Sector Insurers Total,Public,2020-21,Government Sponsored Schemes including RSBY,109,314697541,36504593536.00
Public Sector Insurers Total,Public,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,316378,41904724,160112195181.14
Public Sector Insurers Total,Public,2020-21,Individual Family Floater  ,2335444,7427086,34305493612.00
Public Sector Insurers Total,Public,2020-21,Individual Other than Family Floater,4315991,7897143,41359690420.07
Public Sector Insurers Total,Public,2021-22,Government Sponsored Schemes including RSBY,55,271530784,45733575558.00
Public Sector Insurers Total,Public,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,236134,55809286,207459637786.46
Public Sector Insurers Total,Public,2021-22,Individual Family Floater  ,2239635,7217837,36472265564.00
Public Sector Insurers Total,Public,2021-22,Individual Other than Family Floater,2663837,4865669,39763118500.00
Raheja QBE General Insurance Co. Ltd.,Private,2013-14,Individual Insurance excluding Family /Floater Policies,66,70,198000.00
Raheja QBE General Insurance Co. Ltd.,Private,2014-15,Individual Insurance excluding Family/ Floater Policies,58,58,139517.14
Raheja QBE General Insurance Co. Ltd.,Private,2015-16,Individual Other than Family Floater,84,80,200000.00
Raheja QBE General Insurance Co. Ltd.,Private,2016-17,Individual Family Floater  ,4,13,33316.00
Raheja QBE General Insurance Co. Ltd.,Private,2016-17,Individual Other than Family Floater,66,66,169111.50
Raheja QBE General Insurance Co. Ltd.,Private,2017-18,Government Sponsored Schemes including RSBY,0,0,0.00
Raheja QBE General Insurance Co. Ltd.,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,0,0,0.00
Raheja QBE General Insurance Co. Ltd.,Private,2017-18,Individual Family Floater  ,21,65,286908.19
Raheja QBE General Insurance Co. Ltd.,Private,2017-18,Individual Other than Family Floater,123,123,396922.39
Raheja QBE General Insurance Co. Ltd.,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,0,0,0.00
Raheja QBE General Insurance Co. Ltd.,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,0,0,0.00
Raheja QBE General Insurance Co. Ltd.,Private,2018-19,Individual Family Floater  ,32,102,491780.00
Raheja QBE General Insurance Co. Ltd.,Private,2018-19,Individual Other than Family Floater,103,103,499810.00
Raheja QBE General Insurance Co. Ltd.,Private,2019-20,Government Sponsored Schemes including RSBY,0,0,0.00
Raheja QBE General Insurance Co. Ltd.,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,0,0,0.00
Raheja QBE General Insurance Co. Ltd.,Private,2019-20,Individual Family Floater  ,350,877,3355296.00
Raheja QBE General Insurance Co. Ltd.,Private,2019-20,Individual Other than Family Floater,644,644,2808719.00
Raheja QBE General Insurance Co. Ltd.,Private,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
Raheja QBE General Insurance Co. Ltd.,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,9,1481,28323836.58
Raheja QBE General Insurance Co. Ltd.,Private,2020-21,Individual Family Floater  ,460,1563,38315564.00
Raheja QBE General Insurance Co. Ltd.,Private,2020-21,Individual Other than Family Floater,2254,2641,125391837.00
Raheja QBE General Insurance Co. Ltd.,Private,2021-22,Government Sponsored Schemes including RSBY,0,0,0.00
Raheja QBE General Insurance Co. Ltd.,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,60,9584,29583895.20
Raheja QBE General Insurance Co. Ltd.,Private,2021-22,Individual Family Floater  ,811,2261,6247477.97
Raheja QBE General Insurance Co. Ltd.,Private,2021-22,Individual Other than Family Floater,3704,3768,11763552.41
Reliance General Insurance Co. Ltd.,Private,2013-14,Family/Floater Insurance excluding Individual Policies,59141,174396,444153858.75
Reliance General Insurance Co. Ltd.,Private,2013-14,Government Sponsored Schemes including RSBY,70,11194450,2252558380.12
Reliance General Insurance Co. Ltd.,Private,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,712,505149,1468170581.12
Reliance General Insurance Co. Ltd.,Private,2013-14,Individual Insurance excluding Family /Floater Policies,37537,52508,170292783.53
Reliance General Insurance Co. Ltd.,Private,2014-15,Family/Floater Insurance excluding Individual Policies,56444,175386,333475238.01
Reliance General Insurance Co. Ltd.,Private,2014-15,Government Sponsored Schemes including RSBY,50,17667793,2710737104.67
Reliance General Insurance Co. Ltd.,Private,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,667,485675,1292100238.23
Reliance General Insurance Co. Ltd.,Private,2014-15,Individual Insurance excluding Family/ Floater Policies,27079,29853,134484559.22
Reliance General Insurance Co. Ltd.,Private,2015-16,Government Sponsored Schemes including RSBY,34,17074000,2581300000.00
Reliance General Insurance Co. Ltd.,Private,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,898,1878000,1832100000.00
Reliance General Insurance Co. Ltd.,Private,2015-16,Individual Family Floater  ,52724,162000,485800000.00
Reliance General Insurance Co. Ltd.,Private,2015-16,Individual Other than Family Floater,25581,27000,197400000.00
Reliance General Insurance Co. Ltd.,Private,2016-17,Government Sponsored Schemes including RSBY,46,6854090,307592351.42
Reliance General Insurance Co. Ltd.,Private,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,1800,1818855,2036619117.79
Reliance General Insurance Co. Ltd.,Private,2016-17,Individual Family Floater  ,51875,162292,520155897.21
Reliance General Insurance Co. Ltd.,Private,2016-17,Individual Other than Family Floater,26904,29063,219259998.16
Reliance General Insurance Co. Ltd.,Private,2017-18,Government Sponsored Schemes including RSBY,14,21981934,2907862076.50
Reliance General Insurance Co. Ltd.,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,5460,2346257,3591105217.63
Reliance General Insurance Co. Ltd.,Private,2017-18,Individual Family Floater  ,50434,159364,553356270.56
Reliance General Insurance Co. Ltd.,Private,2017-18,Individual Other than Family Floater,26226,28870,180340606.27
Reliance General Insurance Co. Ltd.,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,15,24333288,3666250180.00
Reliance General Insurance Co. Ltd.,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,5590,2928299,5503341695.63
Reliance General Insurance Co. Ltd.,Private,2018-19,Individual Family Floater  ,52716,166742,628814907.79
